Title,Price,Location,Bedrooms,Bathrooms,Size
4 Bed Townhouse with En Suite in Lavington,"KSh 30,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
4 Bed Villa with En Suite in Kiambu Road,"KSh 40,000,000",Kiambu Road,4 Bedrooms,5 Bathrooms,456 m²
4 Bed Townhouse with En Suite in Karen,"KSh 80,000,000",Karen,4 Bedrooms,4 Bathrooms,N/A
4 Bed House with En Suite in Athi River,"KSh 17,500,000",Athi River,4 Bedrooms,3 Bathrooms,N/A
5 Bed House with En Suite in Kitisuru,"KSh 140,000,000","Kitisuru, Westlands",5 Bedrooms,N/A,N/A
4 Bed Villa with En Suite in Kiambu Town,"KSh 35,000,000",Kiambu Town,4 Bedrooms,4 Bathrooms,532 m²
4 Bed House with En Suite at Kileleshwa,"KSh 59,000,000","0508n, kileleshwa, Kileleshwa",4 Bedrooms,4 Bathrooms,N/A
4 Bed House with En Suite at Kilifi,"KSh 27,980,000","0508n, kilifi, Kilifi",4 Bedrooms,4 Bathrooms,N/A
3 Bed House with En Suite at Kilifi,"KSh 22,480,000","0508n, kilifi, Kilifi",3 Bedrooms,3 Bathrooms,N/A
2 Bed House with En Suite at Kilifi,"KSh 16,980,000","0508n, kilifi, Kilifi",2 Bedrooms,2 Bathrooms,N/A
4 Bed House with En Suite at Lavington,"KSh 60,000,000","0508n, lavington, Lavington",4 Bedrooms,4 Bathrooms,N/A
4 Bed Townhouse with En Suite in Ruiru,"KSh 14,950,000",Ruiru,4 Bedrooms,6 Bathrooms,N/A
3 Bed Townhouse with En Suite in Kiambu Road,"KSh 43,000,000",Kiambu Road,3 Bedrooms,4 Bathrooms,N/A
4 Bed Townhouse with En Suite in Eastern ByPass,"KSh 13,000,000","Eastern ByPass, Ruiru",4 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite at Loresho Ridge,"KSh 96,000,000","Loresho Ridge, Loresho, Westlands",4 Bedrooms,5 Bathrooms,600 m²
5 Bed Townhouse with En Suite at Lavington Road,"KSh 65,000,000","Lavington Road 67, Lavington Road, Lavington",5 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite at Jacaranda Avenue,"KSh 75,000,000","Jacaranda avenue 34, Jacaranda avenue, Lavington",5 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite at Lavington,"KSh 76,000,000","Lavington Road 56, Lavington",5 Bedrooms,6 Bathrooms,N/A
4 Bed House with En Suite at Kiambu Road,"KSh 35,000,000","00502, New runda,kiambu road, Runda, Westlands",4 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite at Kitengela,"KSh 16,500,000","kitengela, Kitengela",4 Bedrooms,4 Bathrooms,208 m²
4 Bed Townhouse with Staff Quarters at Phase 2,"KSh 11,500,000","Phase 2, Buruburu",4 Bedrooms,2 Bathrooms,N/A
4 Bed Townhouse with En Suite at Membley,"KSh 20,000,000","Membley, Ruiru",4 Bedrooms,4 Bathrooms,285 m²
5 Bed House with En Suite at Westlands,"KSh 57,000,000","54 Westlands, Westlands, Westlands Area",5 Bedrooms,6 Bathrooms,548 m²
5 Bed House with En Suite at Runda,"KSh 140,000,000","Runda, Westlands",5 Bedrooms,6 Bathrooms,N/A
4 Bed Villa with En Suite at Off Loresho Ridge,"KSh 122,000,000","Off Loresho Ridge, Loresho, Westlands",4 Bedrooms,4 Bathrooms,480 m²
4 Bed Villa with En Suite at Off Loresho Ridge,"KSh 110,000,000","Off Loresho Ridge, Loresho, Westlands",4 Bedrooms,4 Bathrooms,450 m²
4 Bed Townhouse with En Suite in Langata,"KSh 44,900,000",Langata,4 Bedrooms,7 Bathrooms,N/A
4 Bed Townhouse with En Suite in Langata,"KSh 35,900,000",Langata,4 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 81,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 55,000,000",Lavington,5 Bedrooms,6 Bathrooms,N/A
4 Bed Townhouse with En Suite in Lavington,"KSh 71,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
4 Bed Townhouse with En Suite in Lavington,"KSh 30,000,000",Lavington,4 Bedrooms,5 Bathrooms,N/A
4 Bed House with En Suite at Off Kaptagat Road,"KSh 75,000,000","Off Kaptagat Road, Loresho, Westlands",4 Bedrooms,4 Bathrooms,400 m²
5 Bed Townhouse with En Suite in Lavington,"KSh 65,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
5 Bed Townhouse with En Suite in Lavington,"KSh 90,000,000",Lavington,5 Bedrooms,5 Bathrooms,N/A
5 Bed Townhouse with En Suite in Loresho,"KSh 150,000,000","Loresho, Westlands",5 Bedrooms,6 Bathrooms,N/A
4 Bed House with En Suite in Ngong,"KSh 7,500,000",Ngong,4 Bedrooms,3 Bathrooms,180 m²
3 Bed House with En Suite in Ngong,"KSh 7,500,000",Ngong,3 Bedrooms,4 Bathrooms,150 m²
5 Bed Townhouse with En Suite at Ruiru Githunguri Road,"KSh 18,500,000","Ruiru Githunguri Road, Tatu City, Ruiru",5 Bedrooms,6 Bathrooms,263 m²
5 Bed Villa with En Suite in Kileleshwa,"KSh 75,000,000",Kileleshwa,5 Bedrooms,5 Bathrooms,N/A
3 Bed House with En Suite in Ngong,"KSh 8,500,000",Ngong,3 Bedrooms,2 Bathrooms,140 m²
7 Bed Villa with En Suite in Karen,"KSh 120,000,000",Karen,7 Bedrooms,8 Bathrooms,N/A
3 Bed House with En Suite in Ngong,"KSh 7,000,000",Ngong,3 Bedrooms,4 Bathrooms,160 m²
4 Bed House with En Suite at Lavington,"KSh 65,000,000","0507n, lavington, Lavington",4 Bedrooms,4 Bathrooms,N/A
